iter	RMSE
0	23713819.56
1	22193225.59
2	21064404.96
3	19862160.92
4	18832619.87
5	17895529.21
6	17076358.65
7	16350779.4
8	15677808.14
9	15105480.59
10	14551437.88
11	14101685.14
12	13769650.25
13	13333003.01
14	12892639.96
15	12607776.42
16	12375268.4
17	12070026.24
18	11839342.71
19	11606662.58
20	11382750.9
21	11225012
22	11039407.35
23	10821127.82
24	10658538.41
25	10535268.72
26	10433207.94
27	10324179.55
28	10236757.14
29	10129504.78
30	10041606.3
31	9954961.3
32	9841856.531
33	9737190.656
34	9660443.114
35	9583843.122
36	9512831.387
37	9451613.9
38	9386995.613
39	9350356.785
40	9289915.99
41	9221478.732
42	9196213.812
43	9124134.748
44	9090112.81
45	9053310.503
46	8977885.373
47	8949214.319
48	8926253.287
49	8896706.022
50	8835570.658
51	8771789.636
52	8720283.162
53	8684879.011
54	8661161.193
55	8625025.676
56	8603604.932
57	8572695.217
58	8526908.858
59	8491250.6
60	8450160.225
61	8439868.745
62	8413043.191
63	8367017.239
64	8336575.967
65	8304093.958
66	8272473.982
67	8235931.59
68	8210388.299
69	8185397.223
70	8155730.694
71	8140249.213
72	8126933.735
73	8098991.419
74	8079759.863
75	8050264.224
76	8036618.683
77	8010241.238
78	7960838.265
79	7925906.019
80	7908646.19
81	7881106.211
82	7862701.197
83	7823046.991
84	7794169.626
85	7777365.29
86	7747646.117
87	7734135.724
88	7706182.412
89	7678271.53
90	7638214.332
91	7599746.101
92	7584210.364
93	7554164.878
94	7537738.702
95	7525627.389
96	7513057.368
97	7499697.505
98	7451543.229
99	7423884.019
100	7403307.372
101	7368766.686
102	7356168.776
103	7340142.422
104	7328747.948
105	7308951.906
106	7268125.738
107	7244158.055
108	7229940.986
109	7195212.922
110	7183627.957
111	7158595.515
112	7140960.617
113	7132650.343
114	7122977.748
115	7097355.181
116	7090701.733
117	7076846.804
118	7044089.469
119	7029217.486
120	7022982.636
121	7010795.426
122	6979878.366
123	6953015.59
124	6943787.066
125	6931863.117
126	6909155.4
127	6892935.939
128	6874532.085
129	6863702.165
130	6853674.941
131	6822640.021
132	6813956.78
133	6792883.68
134	6762814.641
135	6733515.824
136	6727781.582
137	6705061.941
138	6694617.689
139	6683925.614
140	6678232.501
141	6667136.975
142	6661894.877
143	6641160.88
144	6610282.291
145	6590676.366
146	6575115.854
147	6549668.461
148	6542108.783
149	6537155.71
150	6525197.045
151	6510661.622
152	6485653.408
153	6476058.964
154	6466860.006
155	6448806.905
156	6436447.813
157	6431449.412
158	6416002.208
159	6402463.3
160	6383578.716
161	6376187.244
162	6353576.262
163	6326175.841
164	6303151.623
165	6290424.278
166	6282407.835
167	6266318.369
168	6251863.66
169	6240205.711
170	6235317.065
171	6222281.521
172	6213300.42
173	6208635.357
174	6201203.981
175	6184992.895
176	6157283.073
177	6151170.591
178	6143877.096
179	6139337.499
180	6124045.624
181	6111041.413
182	6092280.086
183	6070257.157
184	6065791.385
185	6045108.283
186	6029415.424
187	6015506.264
188	6008426.496
189	5999159.927
190	5995023.453
191	5982831.45
192	5978795.064
193	5961248.278
194	5957202.035
195	5951435.317
196	5939394.962
197	5924686.786
198	5915946.873
199	5905941.8
200	5895097.248
201	5891277.666
202	5887646.103
203	5880697.854
204	5873372.204
205	5860990.612
206	5850691.311
207	5847166.226
208	5827277.41
209	5811208.144
210	5799844.782
211	5783004.65
212	5779297.437
213	5755141.853
214	5751740.853
215	5745859.949
216	5739373.601
217	5735848.511
218	5717456.635
219	5701830.44
220	5690565.789
221	5682340.982
222	5678881.608
223	5665715.305
224	5660144.681
225	5655158.38
226	5648106.936
227	5629179.423
228	5622585.607
229	5619088.405
230	5615788.733
231	5603174.251
232	5594039.609
233	5584447.533
234	5570282.979
235	5566928.713
236	5561631.654
237	5558441.364
238	5537440.921
239	5519579.319
240	5505420.379
241	5501690.592
242	5489237.009
243	5470240.05
244	5462893.224
245	5451329.098
246	5438910.983
247	5434155.722
248	5427989.096
249	5422924.191
250	5419560.804
251	5411285.437
252	5408047.809
253	5405100.305
254	5395914.802
255	5392920.928
256	5377927.991
257	5374921.907
258	5360729.565
259	5351986.864
260	5349073.1
261	5329508.452
262	5326638.798
263	5320275.864
264	5311200.421
265	5308387.059
266	5301684.754
267	5298968.643
268	5291001.514
269	5285610.13
270	5281627.023
271	5275668.328
272	5269439.73
273	5266721.13
274	5264026.198
275	5250234.363
276	5247590.346
277	5238451.923
278	5235856.019
279	5231813.146
280	5221307.1
281	5213565.273
282	5204006.389
283	5201399.275
284	5196375.705
285	5186177.925
286	5179866.394
287	5168718.428
288	5166291.336
289	5163743.651
290	5159592.67
291	5152395.048
292	5147324.247
293	5139024.815
294	5134631.906
295	5132112.058
296	5129570.95
297	5123602.529
298	5112935.255
299	5109002.534
300	5104017.239
301	5099256.227
302	5087845.658
303	5076807.346
304	5060801.426
305	5054693.688
306	5051708.469
307	5049336.311
308	5038748.834
309	5033182.909
310	5029273.609
311	5020033.707
312	5009222.256
313	5001687.083
314	4996982.145
315	4994692.152
316	4989285.118
317	4986063.091
318	4975753.506
319	4973513.25
320	4965367.59
321	4956431.094
322	4954428.518
323	4951151.407
324	4948785.367
325	4941993.83
326	4924323.576
327	4921968.665
328	4913039.338
329	4896824.952
330	4894243.247
331	4888238.325
332	4885960.431
333	4883717.429
334	4877926.036
335	4875575.62
336	4864479.97
337	4860189.004
338	4852900.954
339	4850727.307
340	4838938.187
341	4833431.567
342	4819924.492
343	4802647.779
344	4799726.856
345	4795486.657
346	4789546.104
347	4780237.991
348	4778041.314
349	4775866.592
350	4773718.36
351	4771356.597
352	4766931.369
353	4762370.394
354	4755104.403
355	4746614.901
356	4742643.616
357	4738225.413
358	4730019.457
359	4727902.938
360	4725812.958
361	4721570.828
362	4719596.856
363	4717557.485
364	4712601.636
365	4709075.05
366	4707047.97
367	4699832.476
368	4696095.562
369	4686932.425
370	4684944.189
371	4682945.478
372	4671772.249
373	4659029.435
374	4655972.995
375	4651061.956
376	4641583.401
377	4639532.701
378	4635047.705
379	4631114.548
380	4626434.441
381	4624409.647
382	4614478.779
383	4612443.5
384	4607993.207
385	4605078.182
386	4595014.183
387	4593065.168
388	4574558.76
389	4571290.337
390	4569384.512
391	4565066.681
392	4563101.304
393	4561242.173
394	4559369.258
395	4553627.746
396	4546091.328
397	4544340.237
398	4534149.157
399	4525191.674
400	4520775.336
401	4513021.824
402	4511272.118
403	4506766.443
404	4504928.724
405	4502264.987
406	4498424.05
407	4496757.352
408	4493092.943
409	4491314.309
410	4489524.175
411	4485126.557
412	4479080.009
413	4476537.159
414	4474770.371
415	4458279.451
416	4452823.83
417	4451311.052
418	4448819.912
419	4447031.865
420	4442416.24
421	4433764.154
422	4432020.382
423	4426640.532
424	4422365.346
425	4411448.124
426	4409719.024
427	4407533.373
428	4402705.044
429	4397695.471
430	4394301.558
431	4382792.632
432	4376461.036
433	4374904.719
434	4372586.298
435	4370430.244
436	4368728.118
437	4365961.593
438	4358250.336
439	4352158.065
440	4342980.989
441	4341249.022
442	4334226.462
443	4330911.72
444	4320029.079
445	4306851.992
446	4299788.351
447	4293580.525
448	4291840.597
449	4290192.799
450	4287044.751
451	4282244.311
452	4275767.071
453	4271871.243
454	4263413.972
455	4257869.792
456	4250214.858
457	4242449.702
458	4240905.594
459	4238534.913
460	4235569.853
461	4231081.827
462	4229465.938
463	4227796.912
464	4226305.654
465	4217916.324
466	4214134.501
467	4209690.801
468	4203329.158
469	4201796.34
470	4199129.189
471	4195681.798
472	4193947.725
473	4192298.891
474	4190716.92
475	4184096.886
476	4178147.924
477	4172890.144
478	4163662.007
479	4160804.777
480	4159363.932
481	4157804.07
482	4151936.303
483	4144869.354
484	4143294.089
485	4141305.244
486	4130965.943
487	4125366.49
488	4118243.709
489	4116831.115
490	4113754.393
491	4110340.983
492	4108774.891
493	4104053.064
494	4102597.068
495	4098100.329
496	4096525.349
497	4091899.641
498	4090381.496
499	4088777.546
500	4087146.607
501	4083814.826
502	4080380.924
503	4078903.811
504	4077407.915
505	4070748.21
506	4061027.221
507	4059626.347
508	4057336.017
509	4054132.672
510	4052654.069
511	4051276.385
512	4049791.287
513	4048513.24
514	4041226.933
515	4037882.627
516	4036444.409
517	4035009.835
518	4032415.548
519	4026741.953
520	4024063.93
521	4022650.716
522	4017520.636
523	4015472.454
524	4013245.812
525	4010866.348
526	4003721.465
527	4002387.463
528	4001125.671
529	3999733.244
530	3995821.861
531	3987771.02
532	3986558.051
533	3985188.779
534	3980788.086
535	3978212.043
536	3970663.375
537	3969325.967
538	3963945.379
539	3962581.163
540	3959692.893
541	3957251.143
542	3953930.735
543	3952650.644
544	3948356.621
545	3944008.017
546	3942708.054
547	3939508.95
548	3938223.696
549	3936900.42
550	3935550.214
551	3927853.948
552	3924639.75
553	3923320.156
554	3918719.719
555	3916857.089
556	3912965.893
557	3910653.7
558	3902300.134
559	3897432.801
560	3896177.821
561	3894866.26
562	3891719.835
563	3890600.095
564	3889234.554
565	3885148.564
566	3883931.739
567	3882063.29
568	3877786.71
569	3869321.75
570	3860934.958
571	3859691.515
572	3856435.126
573	3855168.763
574	3847649.235
575	3845343.719
576	3840718.961
577	3836876.811
578	3832143.294
579	3830382.242
580	3828079.943
581	3826868.941
582	3821518.698
583	3818208.74
584	3816949.47
585	3815683.903
586	3813311.639
587	3808257.01
588	3804289.268
589	3803051.094
590	3800928.85
591	3798555.094
592	3787839.817
593	3779480.57
594	3778286.936
595	3767266.456
596	3766076.156
597	3761709.792
598	3759480.991
599	3756313.151
600	3755058.36
601	3750740.709
602	3749505.166
603	3747733.012
604	3743784.354
605	3742562.318
606	3736378.928
607	3734671.69
608	3730006.034
609	3728852.969
610	3726257.499
611	3722562.47
612	3719638.098
613	3709915.31
614	3708712.991
615	3699893.179
616	3696008.424
617	3694814.49
618	3690131.002
619	3689014.258
620	3684710.594
621	3683522.857
622	3681889.625
623	3680866.992
624	3678843.961
625	3674148.084
626	3672579.934
627	3671090.736
628	3669825.152
629	3667383.954
630	3666223.247
631	3664260.035
632	3663184.168
633	3662036.49
634	3659029.727
635	3656482.208
636	3655339.651
637	3654208.438
638	3651378.869
639	3645400.024
640	3643832.537
641	3642701.529
642	3640580.198
643	3633786.611
644	3627133.977
645	3626064.772
646	3624944.818
