iter	Passed	Remaining
0	60	60390
1	62	31067
2	64	21373
3	66	16674
4	69	13774
5	70	11748
6	75	10700
7	78	9751
8	81	8987
9	83	8227
10	84	7598
11	108	8971
12	127	9675
13	129	9096
14	130	8583
15	132	8142
16	134	7751
17	137	7496
18	160	8289
19	164	8046
20	166	7743
21	172	7680
22	174	7405
23	178	7256
24	185	7223
25	188	7043
26	193	6962
27	196	6832
28	214	7190
29	237	7665
30	244	7636
31	245	7439
32	253	7430
33	255	7245
34	271	7476
35	273	7335
36	275	7168
37	277	7013
38	278	6870
39	287	6908
40	299	7001
41	301	6866
42	303	6755
43	309	6726
44	311	6600
45	312	6479
46	314	6367
47	315	6253
48	317	6164
49	319	6061
50	320	5966
51	322	5872
52	323	5782
53	325	5693
54	327	5624
55	329	5562
56	335	5549
57	339	5510
58	342	5469
59	419	6573
60	422	6500
61	424	6414
62	425	6329
63	427	6249
64	429	6172
65	430	6095
66	432	6020
67	435	5970
68	439	5932
69	442	5873
70	461	6034
71	462	5962
72	470	5970
73	472	5914
74	474	5847
75	475	5781
76	476	5716
77	478	5652
78	483	5630
79	484	5570
80	485	5510
81	488	5468
82	505	5588
83	512	5589
84	515	5544
85	521	5537
86	523	5490
87	525	5445
88	526	5392
89	528	5345
90	529	5293
91	531	5242
92	532	5193
93	533	5145
94	535	5104
95	536	5054
96	537	5006
97	539	4963
98	540	4920
99	542	4881
100	543	4841
101	545	4801
102	546	4760
103	578	4980
104	584	4985
105	592	4996
106	594	4960
107	595	4921
108	597	4882
109	598	4845
110	601	4817
111	602	4777
112	603	4738
113	605	4702
114	610	4699
115	612	4665
116	613	4629
117	614	4595
118	616	4562
119	617	4530
120	625	4543
121	627	4513
122	628	4483
123	631	4460
124	632	4429
125	634	4398
126	636	4377
127	638	4348
128	649	4388
129	652	4364
130	661	4387
131	662	4359
132	679	4427
133	687	4444
134	689	4415
135	690	4387
136	699	4408
137	701	4381
138	708	4386
139	709	4359
140	711	4335
141	713	4308
142	714	4282
143	716	4257
144	717	4231
145	718	4205
146	720	4179
147	721	4154
148	722	4127
149	724	4104
150	725	4080
151	739	4122
152	742	4109
153	744	4090
154	746	4070
155	748	4048
156	755	4057
157	757	4034
158	758	4012
159	760	3990
160	762	3973
161	764	3956
162	766	3935
163	767	3914
164	770	3898
165	771	3877
166	784	3915
167	786	3895
168	788	3875
169	789	3855
170	791	3835
171	792	3815
172	793	3794
173	794	3773
174	796	3754
175	797	3735
176	799	3716
177	803	3712
178	805	3692
179	806	3671
180	807	3654
181	811	3648
182	813	3630
183	814	3613
184	816	3595
185	817	3576
186	818	3559
187	825	3567
188	827	3549
189	828	3532
190	842	3566
191	843	3551
192	845	3534
193	846	3517
194	848	3501
195	849	3484
196	851	3470
197	852	3454
198	857	3450
199	858	3433
200	859	3416
201	860	3399
202	862	3384
203	863	3371
204	865	3356
205	867	3342
206	876	3355
207	882	3358
208	883	3344
209	887	3337
210	888	3322
211	889	3307
212	892	3297
